w_ptmo,label,t,A_true,B_true,P_true,A_noisy,B_noisy,X_true
0.05,5% PTMO,3.1438127090301,0.08103840477093262,0.06403840477093262,0.015961595229067392,0.07680443618059059,0.056464168647503296,0.1645525281347153
0.05,5% PTMO,3.1772575250836117,0.0808998223838131,0.0638998223838131,0.016100177616186907,0.078667247623478,0.06818181635543047,0.16598121253800927
0.05,5% PTMO,3.2107023411371234,0.08076177587023141,0.06376177587023141,0.0162382241297686,0.08183224459088242,0.057533081976671466,0.16740437247184117
0.05,5% PTMO,3.2441471571906355,0.08062426213947174,0.06362426213947174,0.016375737860528268,0.08149016676872765,0.06555084903811592,0.16882203979926041
0.05,5% PTMO,3.277591973244147,0.08048727812408984,0.06348727812408984,0.01651272187591016,0.07606799094308418,0.06425590365381749,0.17023424614340368
0.05,5% PTMO,3.311036789297659,0.080350820779913,0.063350820779913,0.016649179220087008,0.080641864372143,0.057635969290759884,0.1716410228874949
0.05,5% PTMO,3.3444816053511706,0.08021488708604001,0.06321488708604,0.01678511291396,0.08200382388778142,0.06601880971788118,0.17304240117484532
0.05,5% PTMO,3.3779264214046822,0.08007947404484121,0.06307947404484121,0.016920525955158798,0.08549473026071759,0.06834848430501572,0.1744384119088535
0.05,5% PTMO,3.411371237458194,0.07994457868195848,0.06294457868195848,0.017055421318041525,0.07305623184217303,0.05825545348238286,0.1758290857530054
0.05,5% PTMO,3.4448160535117056,0.07981019804630522,0.06281019804630522,0.01718980195369478,0.08238537438234853,0.06537912780086627,0.17721445313087403
0.05,5% PTMO,3.4782608695652173,0.07967632921006637,0.06267632921006638,0.01732367078993363,0.0822515676415966,0.08193998666333999,0.17859454422611992
0.05,5% PTMO,3.511705685618729,0.07954296926869842,0.06254296926869841,0.017457030731301594,0.08239742182216425,0.06822079746960141,0.1799693889824906
0.05,5% PTMO,3.5451505016722407,0.07941011534092933,0.062410115340929335,0.017589884659070673,0.08418012415839535,0.06566707159745833,0.18133901710382136
0.05,5% PTMO,3.5785953177257523,0.07927776456875868,0.06227776456875867,0.017722235431241334,0.07770141834555695,0.06607261067122501,0.18270345805403426
0.05,5% PTMO,3.612040133779264,0.0791459141174575,0.0621459141174575,0.017854085882542507,0.07528178804476963,0.06096182108375745,0.1840627410571392
0.05,5% PTMO,3.6454849498327757,0.07901456117556842,0.06201456117556841,0.017985438824431592,0.0765877434364229,0.062423931872500026,0.18541689509723283
0.05,5% PTMO,3.6789297658862874,0.07888370295294994,0.06188370295294993,0.018116297047050065,0.09045699578631748,0.05254737698999119,0.18676594893866041
0.05,5% PTMO,3.712374581939799,0.07875333664695157,0.06175333664695157,0.018246663353048434,0.08218463759882413,0.05368975729100331,0.18810993147472613
0.05,5% PTMO,3.7458193979933108,0.0786234594994243,0.0616234594994243,0.0183765405005757,0.07626380017047714,0.06706821248426113,0.1894488711399557
0.05,5% PTMO,3.7792642140468224,0.07849406878525665,0.06149406878525666,0.018505931214743348,0.07881546888073397,0.05610534489561013,0.19078279602828196
0.05,5% PTMO,3.812709030100334,0.07836516179762527,0.06136516179762527,0.01863483820237473,0.07478864325132543,0.06476315054229866,0.1921117340451003
0.05,5% PTMO,3.846153846153846,0.07823673584799495,0.06123673584799495,0.01876326415200505,0.07458490268940927,0.06231902879590483,0.19343571290726855
0.05,5% PTMO,3.8795986622073575,0.07810878826611863,0.061108788266118624,0.018891211733881374,0.07833664746563769,0.05785078652808954,0.19475476014310697
0.05,5% PTMO,3.913043478260869,0.07798131640003737,0.06098131640003737,0.01901868359996263,0.088701036846664,0.06415091151162743,0.19606890309239824
0.05,5% PTMO,3.9464882943143813,0.0778543176160804,0.0608543176160804,0.0191456823839196,0.06772860468279236,0.061786589189927535,0.19737816890638765
0.05,5% PTMO,3.979933110367893,0.07772778929886508,0.060727789298865076,0.019272210701134926,0.07441885697502314,0.0649899559728462,0.19868258454778273
0.05,5% PTMO,4.013377926421405,0.07760172885129689,0.060601728851296895,0.019398271148703107,0.07363912515913339,0.0600280466439624,0.19998217679075375
0.05,5% PTMO,4.046822742474916,0.0774761336945695,0.0604761336945695,0.0195238663054305,0.08000107008947178,0.0648049096654201,0.201276972220933
0.05,5% PTMO,4.080267558528428,0.07735100126816467,0.06035100126816467,0.019648998731835333,0.0713495192328858,0.058678495088959934,0.20256699723541577
0.05,5% PTMO,4.113712374581939,0.07722632902985233,0.06022632902985233,0.01977367097014767,0.07485160247404754,0.056959682866983774,0.20385227804275954
0.05,5% PTMO,4.147157190635451,0.07710211445569054,0.060102114455690546,0.019897885544309456,0.08592938565709603,0.06212702301049532,0.20513284066298415
0.05,5% PTMO,4.180602006688963,0.07697835504002552,0.05997835504002552,0.02002164495997448,0.0706739352683503,0.0645676647752994,0.20640871092757196
0.05,5% PTMO,4.214046822742475,0.0768550482954916,0.059855048295491604,0.020144951704508397,0.08746582928055477,0.06501737459824734,0.20767991447946807
0.05,5% PTMO,4.247491638795986,0.07673219175301128,0.05973219175301128,0.020267808246988716,0.06913534192324122,0.05731102138868002,0.20894647677307956
0.05,5% PTMO,4.280936454849498,0.07660978296179519,0.059609782961795185,0.020390217038204816,0.0829443387077283,0.05607143563370128,0.21020842307427645
0.05,5% PTMO,4.31438127090301,0.0764878194893421,0.059487819489342085,0.020512180510657913,0.07870691663007323,0.06336098975648877,0.2114657784603908
0.05,5% PTMO,4.3478260869565215,0.0763662989214389,0.0593662989214389,0.0206337010785611,0.07173164656354848,0.0590686721411299,0.21271856782021759
0.05,5% PTMO,4.381270903010034,0.07624521886216068,0.05924521886216067,0.02075478113783933,0.06003888216181531,0.05412328065548922,0.21396681585401364
0.05,5% PTMO,4.414715719063545,0.0761245769338706,0.059124576933870604,0.020875423066129398,0.07486173617690481,0.052885661024046356,0.21521054707349893
0.05,5% PTMO,4.448160535117057,0.07600437077722003,0.05900437077722003,0.02099562922277997,0.0841664272968782,0.05185366388741687,0.21644978580185542
0.05,5% PTMO,4.481605351170568,0.07588459805114843,0.05888459805114843,0.021115401948851573,0.07368437561766351,0.059538300937578885,0.21768455617372753
0.05,5% PTMO,4.51505016722408,0.07576525643288341,0.05876525643288342,0.021234743567116587,0.082971622878214,0.051585945676986225,0.21891488213522256
0.05,5% PTMO,4.548494983277592,0.07564634361794076,0.05864634361794076,0.021353656382059244,0.08146216237871556,0.05869750892303869,0.22014078744390972
0.05,5% PTMO,4.581939799331104,0.07552785731144313,0.058527857311443124,0.021472142688556874,0.07062031405620336,0.060838374682759475,0.2213622957583183
0.05,5% PTMO,4.615384615384615,0.07540979520785855,0.05840979520785856,0.021590204792141444,0.0764050936857259,0.05540871082206458,0.22257943084681908
0.05,5% PTMO,4.648829431438127,0.07529215505055954,0.05829215505055954,0.021707844949440457,0.07564116547550964,0.05636558706625074,0.22379221597361298
0.05,5% PTMO,4.682274247491638,0.07517493460154483,0.05817493460154483,0.02182506539845517,0.07574252132780107,0.06148558797415007,0.2250006742108781
0.05,5% PTMO,4.7157190635451505,0.0750581316370967,0.058058131637096694,0.021941868362903304,0.08298821571782346,0.051869054142962445,0.22620482848353926
0.05,5% PTMO,4.749163879598662,0.07494174394778097,0.05794174394778097,0.02205825605221903,0.08560691082106231,0.04818130495016846,0.22740470156926837
0.05,5% PTMO,4.782608695652174,0.07482576933844703,0.05782576933844703,0.02217423066155297,0.07406684386326912,0.06076735537086991,0.2286003160984842
0.05,5% PTMO,4.816053511705685,0.07471020562822782,0.05771020562822781,0.022289794371772184,0.07611516496690299,0.05459670802912484,0.22979169455435242
0.05,5% PTMO,4.849498327759197,0.07459505065053978,0.057595050650539784,0.022404949349460215,0.0735544393987534,0.05513004597724562,0.23097885927278575
0.05,5% PTMO,4.882943143812708,0.07448030225308297,0.057480302253082975,0.022519697746917023,0.07153347846836192,0.0617283127381881,0.23216183244244365
0.05,5% PTMO,4.916387959866221,0.07436595829784096,0.05736595829784095,0.02263404170215905,0.0761510357276662,0.053901410321537675,0.23334063610473244
0.05,5% PTMO,4.949832775919732,0.07425201666108083,0.05725201666108083,0.022747983338919163,0.07875001603824709,0.05878851426546388,0.23451529215380587
0.05,5% PTMO,4.983277591973244,0.07413847523335329,0.057138475233353296,0.022861524766646706,0.0782027858275481,0.060286619442971354,0.23568582233656404
0.05,5% PTMO,5.016722408026756,0.07402533191949255,0.05702533191949254,0.022974668080507455,0.06988035686488218,0.0542244267185077,0.23685224825265414
0.05,5% PTMO,5.050167224080267,0.07391258463861636,0.056912584638616356,0.023087415361383645,0.07764905266423267,0.05996443596578368,0.23801459135447056
0.05,5% PTMO,5.083612040133779,0.07380023132412603,0.05680023132412603,0.02319976867587397,0.07369572335430528,0.05738686824066994,0.2391728729471544
0.05,5% PTMO,5.117056856187291,0.07368826992370643,0.05668826992370644,0.02331173007629356,0.08007659440264855,0.053730412979527284,0.2403271141885935
0.05,5% PTMO,5.150501672240803,0.07357669839932598,0.05657669839932598,0.023423301600674018,0.07631218530517618,0.055565735137156506,0.24147733608942287
0.05,5% PTMO,5.183946488294314,0.07346551472723661,0.05646551472723662,0.02353448527276338,0.07237710871110051,0.06195939898717257,0.2426235595130246
0.05,5% PTMO,5.217391304347826,0.07335471689797386,0.056354716897973854,0.023645283102026144,0.07748179864291402,0.060422265077977044,0.2437658051755272
0.05,5% PTMO,5.250836120401337,0.07324430291635675,0.05624430291635675,0.02375569708364325,0.0797716969521284,0.05634932212452055,0.2449040936458067
0.05,5% PTMO,5.2842809364548495,0.07313427080148789,0.05613427080148789,0.023865729198512105,0.07654403565796271,0.05458293701852061,0.2460384453454857
0.05,5% PTMO,5.317725752508361,0.07302461858675344,0.05602461858675344,0.023975381413246556,0.07464545034919565,0.05537390331491502,0.24716888054893366
0.05,5% PTMO,5.351170568561873,0.07291534431982309,0.05591534431982309,0.02408465568017691,0.07340032414478669,0.05889112944700766,0.24829541938326713
